cliente_id,edad,antiguedad_años,salario_mensual_cop,num_productos,saldo_promedio_cop,num_transacciones_mes,dias_desde_ultimo_contacto,nps_score,canal_preferido,segmento_cliente,region,tiene_credito,tiene_cuenta_ahorro,meses_sin_uso_app,quejas_ultimo_año,churn
CLI00001,60,11,9859922,1,6962365,23,108,2,Telefónico,Premium,Andina,1,0,10,3,1
CLI00002,50,2,11114742,1,34895115,27,156,0,Telefónico,Masivo,Pacífica,0,0,3,3,0
CLI00003,36,19,5190583,6,20407616,45,82,1,Digital,Premium,Pacífica,1,1,7,4,1
CLI00004,64,11,11519276,2,5994602,44,77,7,Digital,Preferente,Pacífica,1,1,0,3,0
CLI00005,29,16,3099908,5,19631335,18,258,0,Presencial,Pyme,Andina,1,1,8,2,0
CLI00006,42,9,3664412,1,6307517,24,127,6,Digital,Masivo,Pacífica,0,1,6,1,0
CLI00007,60,13,6809792,5,37151602,51,282,4,App Móvil,Preferente,Andina,1,1,11,1,1
CLI00008,40,16,3853847,4,3305610,47,88,2,Presencial,Masivo,Caribe,1,1,1,1,0
CLI00009,44,17,4392478,5,25619046,40,204,6,Digital,Masivo,Andina,0,1,10,2,0
CLI00010,32,18,3484117,3,2088618,51,16,8,Telefónico,Pyme,Amazonía,0,1,11,0,0
CLI00011,32,16,7449852,3,46775134,42,151,1,Presencial,Preferente,Andina,1,1,5,2,0
CLI00012,45,13,1529725,5,30693648,7,254,7,Digital,Masivo,Andina,1,1,7,1,0
CLI00013,57,8,11074182,3,32884192,50,188,8,App Móvil,Masivo,Pacífica,0,1,10,1,1
CLI00014,61,7,10684536,4,10987935,48,329,2,App Móvil,Preferente,Andina,1,1,4,1,0
CLI00015,45,1,2388036,2,41150969,20,32,1,Telefónico,Preferente,Pacífica,1,1,5,3,1
CLI00016,24,12,4471783,3,23700188,27,271,6,Digital,Masivo,Pacífica,1,1,11,0,0
CLI00017,43,6,4162761,3,14094164,6,5,4,Presencial,Pyme,Caribe,1,1,9,2,1
CLI00018,23,8,8024559,5,29811111,27,330,4,Telefónico,Masivo,Amazonía,1,0,7,1,1
CLI00019,45,10,4013024,4,31223190,9,308,9,Digital,Masivo,Pacífica,1,0,5,4,0
CLI00020,51,13,3898083,2,23537207,53,333,4,Digital,Pyme,Orinoquía,1,0,11,0,0
CLI00021,59,3,8036295,5,27963733,45,169,3,App Móvil,Masivo,Pacífica,0,1,8,4,1
CLI00022,23,12,5409439,5,15741873,57,181,4,Digital,Masivo,Orinoquía,0,0,11,0,0
CLI00023,42,1,7127745,6,23835237,31,178,3,Telefónico,Preferente,Caribe,1,1,8,1,0
CLI00024,54,4,5411146,4,15163300,21,143,5,Presencial,Premium,Andina,1,1,8,0,0
CLI00025,33,10,11529528,2,39674354,26,362,3,Presencial,Masivo,Orinoquía,1,1,5,0,0
CLI00026,43,5,3207017,4,39129909,40,248,1,Digital,Pyme,Caribe,1,1,11,1,1
CLI00027,46,17,2189556,2,40474311,48,127,8,App Móvil,Premium,Caribe,1,1,11,4,0
CLI00028,48,9,8788538,4,41313512,45,263,1,Presencial,Masivo,Pacífica,1,1,8,4,1
CLI00029,63,3,3753722,5,6662064,13,40,8,Presencial,Preferente,Pacífica,0,1,2,3,0
CLI00030,49,8,3149729,5,217314,49,355,9,Telefónico,Masivo,Caribe,1,1,4,4,0
CLI00031,37,5,2616271,1,5728394,23,255,5,Telefónico,Masivo,Orinoquía,0,1,1,4,0
CLI00032,36,1,4599555,3,48388951,20,143,8,App Móvil,Premium,Pacífica,1,1,11,0,0
